id,user_id,emsi_skill_id,skill_name,proficiency_level,years_experience,confidence,source,resume_id,extraction_method,context,is_verified,created_at,updated_at
1401,1,KS122Q26BWQ1PK3Y74C0,data structures,0.6,NULL,2,resume,131,skillner_lowSurf,NULL,f,2025-08-13 15:33:27.671146,2025-08-13 15:33:27.671146
1402,1,KS4401V5WX78L6JX0NW7,restful apis,0.6,NULL,2,resume,131,skillner_lowSurf,NULL,f,2025-08-13 15:33:39.660675,2025-08-13 15:33:39.660675
1403,1,KS122NS69YK5LB5GXG0G,data transmission,0.6,NULL,2,resume,131,skillner_lowSurf,NULL,f,2025-08-13 15:33:39.690505,2025-08-13 15:33:39.690505
1404,1,KS128FT5XK7FS63H8GL2,recommendation system,0.6,NULL,2,resume,131,skillner_lowSurf,NULL,f,2025-08-13 15:33:39.722804,2025-08-13 15:33:39.722804
1405,1,KSQPGV2XZO8UMNCC49LK,detail orient,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.758494,2025-08-13 15:33:39.758494
1406,1,KS1226Y6DNDT05G7FJ4J,computer science,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.794998,2025-08-13 15:33:39.794998
1407,1,KS440QS66YCBN23Y8K25,software engineering,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.821821,2025-08-13 15:33:39.821821
1408,1,KS122QK6TH01FWQ9X8CH,relational database,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.846586,2025-08-13 15:33:39.846586
1409,1,KS1222C6WKYWRKRXQCR0,version control,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.871586,2025-08-13 15:33:39.871586
1410,1,KS122W867PQYM4N75YWR,development environment,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.898218,2025-08-13 15:33:39.898218
1411,1,KS120L96KMYTDJ48NRSH,software development,0.8,NULL,1,resume,131,skillner_full,NULL,f,2025-08-13 15:33:39.926419,2025-08-13 15:33:39.926419
